Year,Name,Time,Sex
1897.0,John J. McDermott,175.16666666666666,M
1898.0,Ronald J. MacDonald,162.0,M
1899.0,Lawrence Brignolia,174.63333333333333,M
1900.0,"John ""Jack"" Caffery",159.73333333333332,M
1901.0,"John ""Jack"" Caffery",149.38333333333333,M
1902.0,Sammy Mellor,163.2,M
1903.0,John Lorden,161.48333333333332,M
1904.0,Michael Spring,158.06666666666666,M
1905.0,Frederick Lorz,158.41666666666666,M
1906.0,Tim Ford,165.75,M
1907.0,Thomas Longboat,144.4,M
1908.0,Thomas Morrissey,145.71666666666667,M
1909.0,Henri Renaud,173.6,M
1910.0,Fred Cameron,148.86666666666667,M
1911.0,Clarence DeMar,141.65,M
1912.0,Michael J. Ryan,141.3,M
1913.0,Fritz Carlson,145.23333333333332,M
1914.0,James Duffy,145.23333333333332,M
1915.0,Édouard Fabre,151.68333333333334,M
1916.0,Arthur Roth,147.26666666666668,M
1917.0,Bill Kennedy,148.61666666666667,M
1918.0,Camp Devens relay team[3],149.88333333333333,M
1919.0,Carl Linder,149.21666666666667,M
1920.0,Peter Trivoulides,149.51666666666668,M
1921.0,Frank Zuna,138.95,M
1922.0,Clarence DeMar,138.16666666666666,M
1923.0,Clarence DeMar,143.78333333333333,M
1924.0,Clarence DeMar,149.66666666666666,M
1925.0,Charles Mellor,153.0,M
1926.0,Johnny Miles,145.66666666666666,M
1927.0,Clarence DeMar,160.36666666666667,M
1928.0,Clarence DeMar,157.11666666666667,M
1929.0,Johnny Miles,153.13333333333333,M
1930.0,Clarence DeMar,154.8,M
1931.0,James Henigan,166.75,M
1932.0,Paul de Bruyn,153.6,M
1933.0,Leslie S. Pawson,151.01666666666668,M
1934.0,Dave Komonen,152.88333333333333,M
1935.0,John A. Kelley,152.11666666666667,M
1936.0,Ellison Brown,153.66666666666666,M
1937.0,Walter Young,153.33333333333334,M
1938.0,Leslie S. Pawson,155.56666666666666,M
1939.0,Ellison Brown,148.85,M
1940.0,Gérard Côté,148.46666666666667,M
1941.0,Leslie S. Pawson,150.63333333333333,M
1942.0,Joe Smith,146.85,M
1943.0,Gérard Côté,148.41666666666666,M
1944.0,Gérard Côté,151.83333333333334,M
1945.0,John A. Kelley,150.66666666666666,M
1946.0,Stylianos Kyriakides,149.45,M
1947.0,Suh Yun-bok,145.65,M
1948.0,Gérard Côté,151.03333333333333,M
1949.0,Gösta Leandersson,151.83333333333334,M
1950.0,Ham Kee-Yong,152.65,M
1951.0,Shigeki Tanaka,147.75,M
1952.0,Doroteo Flores,151.88333333333333,M
1953.0,Keizo Yamada,138.85,M
1954.0,Veikko Karvonen,140.65,M
1955.0,Hideo Hamamura,138.36666666666667,M
1956.0,Antti Viskari,134.23333333333332,M
1957.0,John J. Kelley,140.08333333333334,M
1958.0,Franjo Mihalić,145.9,M
1959.0,Eino Oksanen,142.7,M
1960.0,Paavo Kotila,140.9,M
1961.0,Eino Oksanen,143.65,M
1962.0,Eino Oksanen,143.8,M
1963.0,Aurèle Vandendriessche,138.96666666666667,M
1964.0,Aurèle Vandendriessche,139.98333333333332,M
1965.0,Morio Shigematsu,136.55,M
1966.0,Kenji Kimihara,137.18333333333334,M
1967.0,Dave McKenzie,135.75,M
1968.0,Amby Burfoot,142.28333333333333,M
1969.0,Yoshiaki Unetani,133.81666666666666,M
1970.0,Ron Hill,130.5,M
1971.0,Álvaro Mejía,138.75,M
1972.0,Olavi Suomalainen,135.65,M
1973.0,Jon Anderson,136.05,M
1974.0,Neil Cusack,133.65,M
1975.0,Bill Rodgers,129.91666666666666,M
1976.0,Jack Fultz,140.31666666666666,M
1977.0,Jerome Drayton,134.76666666666668,M
1978.0,Bill Rodgers,130.21666666666667,M
1979.0,Bill Rodgers,129.45,M
1980.0,Bill Rodgers,132.18333333333334,M
1981.0,Toshihiko Seko,129.43333333333334,M
1982.0,Alberto Salazar,128.86666666666667,M
1983.0,Greg Meyer,129.0,M
1984.0,Geoff Smith,130.56666666666666,M
1985.0,Geoff Smith,134.08333333333334,M
1986.0,Robert de Castella,127.85,M
1987.0,Toshihiko Seko,131.83333333333334,M
1988.0,Ibrahim Hussein,128.71666666666667,M
1989.0,Abebe Mekonnen,129.1,M
1990.0,Gelindo Bordin,128.31666666666666,M
1991.0,Ibrahim Hussein,131.1,M
