Year,Athlete,Country,Time
1897.0,John J. McDermott, United States (NY),175.16666666666666
1898.0,Ronald J. MacDonald, Canada,162.0
1899.0,Lawrence Brignolia, United States (MA),174.63333333333333
1900.0,"John ""Jack"" Caffery", Canada,159.73333333333332
1901.0,"John ""Jack"" Caffery", Canada,149.38333333333333
1902.0,Sammy Mellor, United States (NY),163.2
1903.0,John Lorden, United States (MA),161.48333333333332
1904.0,Michael Spring, United States (NY),158.06666666666666
1905.0,Frederick Lorz, United States (NY),158.41666666666666
1906.0,Tim Ford, United States (MA),165.75
1907.0,Thomas Longboat, Canada,144.4
1908.0,Thomas Morrissey, United States (NY),145.71666666666667
1909.0,Henri Renaud, United States (NH),173.6
1910.0,Fred Cameron, Canada,148.86666666666667
1911.0,Clarence DeMar, United States (MA),141.65
1912.0,Michael J. Ryan, United States (NY),141.3
1913.0,Fritz Carlson, United States (MN),145.23333333333332
1914.0,James Duffy, Canada,145.23333333333332
1915.0,Édouard Fabre, Canada,151.68333333333334
1916.0,Arthur Roth, United States (MA),147.26666666666668
1917.0,Bill Kennedy, United States (NY),148.61666666666667
1918.0,Camp Devens relay team[3], United States (MA),149.88333333333333
1919.0,Carl Linder, United States (MA),149.21666666666667
1920.0,Peter Trivoulides, Greece,149.51666666666668
1921.0,Frank Zuna, United States (NY),138.95
1922.0,Clarence DeMar, United States (MA),138.16666666666666
1923.0,Clarence DeMar, United States (MA),143.78333333333333
1924.0,Clarence DeMar, United States (MA),149.66666666666666
1925.0,Charles Mellor, United States (IL),153.0
1926.0,Johnny Miles, Canada,145.66666666666666
1927.0,Clarence DeMar, United States (MA),160.36666666666667
1928.0,Clarence DeMar, United States (MA),157.11666666666667
1929.0,Johnny Miles, Canada,153.13333333333333
1930.0,Clarence DeMar, United States (MA),154.8
1931.0,James Henigan, United States (MA),166.75
1932.0,Paul de Bruyn, Germany,153.6
1933.0,Leslie S. Pawson, United States (RI),151.01666666666668
1934.0,Dave Komonen, Canada,152.88333333333333
1935.0,John A. Kelley, United States (MA),152.11666666666667
1936.0,Ellison Brown, United States (RI),153.66666666666666
1937.0,Walter Young, Canada,153.33333333333334
1938.0,Leslie S. Pawson, United States (RI),155.56666666666666
1939.0,Ellison Brown, United States (RI),148.85
1940.0,Gérard Côté, Canada,148.46666666666667
1941.0,Leslie S. Pawson, United States (RI),150.63333333333333
1942.0,Joe Smith, United States (MA),146.85
1943.0,Gérard Côté, Canada,148.41666666666666
1944.0,Gérard Côté, Canada,151.83333333333334
1945.0,John A. Kelley, United States (MA),150.66666666666666
1946.0,Stylianos Kyriakides, Greece,149.45
1947.0,Suh Yun-bok, South Korea,145.65
1948.0,Gérard Côté, Canada,151.03333333333333
1949.0,Gösta Leandersson, Sweden,151.83333333333334
1950.0,Ham Kee-Yong, South Korea,152.65
1951.0,Shigeki Tanaka, Japan,147.75
1952.0,Doroteo Flores, Guatemala,151.88333333333333
1953.0,Keizo Yamada, Japan,138.85
1954.0,Veikko Karvonen, Finland,140.65
1955.0,Hideo Hamamura, Japan,138.36666666666667
1956.0,Antti Viskari, Finland,134.23333333333332
1957.0,John J. Kelley, United States (CT),140.08333333333334
1958.0,Franjo Mihalić, Yugoslavia,145.9
1959.0,Eino Oksanen, Finland,142.7
1960.0,Paavo Kotila, Finland,140.9
1961.0,Eino Oksanen, Finland,143.65
1962.0,Eino Oksanen, Finland,143.8
1963.0,Aurèle Vandendriessche, Belgium,138.96666666666667
1964.0,Aurèle Vandendriessche, Belgium,139.98333333333332
1965.0,Morio Shigematsu, Japan,136.55
1966.0,Kenji Kimihara, Japan,137.18333333333334
1967.0,Dave McKenzie, New Zealand,135.75
1968.0,Amby Burfoot, United States (CT),142.28333333333333
1969.0,Yoshiaki Unetani, Japan,133.81666666666666
1970.0,Ron Hill, United Kingdom,130.5
1971.0,Álvaro Mejía, Colombia,138.75
1972.0,Olavi Suomalainen, Finland,135.65
1973.0,Jon Anderson, United States (OR),136.05
1974.0,Neil Cusack, Ireland,133.65
1975.0,Bill Rodgers, United States (MA),129.91666666666666
1976.0,Jack Fultz, United States (VA),140.31666666666666
1977.0,Jerome Drayton, Canada,134.76666666666668
1978.0,Bill Rodgers, United States (MA),130.21666666666667
1979.0,Bill Rodgers, United States (MA),129.45
1980.0,Bill Rodgers, United States (MA),132.18333333333334
1981.0,Toshihiko Seko, Japan,129.43333333333334
1982.0,Alberto Salazar, United States (MA),128.86666666666667
1983.0,Greg Meyer, United States (MI),129.0
1984.0,Geoff Smith, United Kingdom,130.56666666666666
1985.0,Geoff Smith, United Kingdom,134.08333333333334
1986.0,Robert de Castella, Australia,127.85
1987.0,Toshihiko Seko, Japan,131.83333333333334
1988.0,Ibrahim Hussein, Kenya,128.71666666666667
1989.0,Abebe Mekonnen, Ethiopia,129.1
1990.0,Gelindo Bordin, Italy,128.31666666666666
1991.0,Ibrahim Hussein, Kenya,131.1
1992.0,Ibrahim Hussein, Kenya,128.23333333333332
1993.0,Cosmas Ndeti, Kenya,129.55
1994.0,Cosmas Ndeti, Kenya,127.25
1995.0,Cosmas Ndeti, Kenya,129.36666666666667
1996.0,Moses Tanui, Kenya,129.25
1997.0,Lameck Aguta, Kenya,130.56666666666666
1998.0,Moses Tanui, Kenya,127.56666666666666
1999.0,Joseph Chebet, Kenya,129.86666666666667
2000.0,Elijah Lagat, Kenya,129.78333333333333
2001.0,Lee Bong-Ju, South Korea,129.71666666666667
2002.0,Rodgers Rop, Kenya,129.03333333333333
2003.0,Robert Kipkoech Cheruiyot, Kenya,130.18333333333334
2004.0,Timothy Cherigat, Kenya,130.61666666666667
2005.0,Hailu Negussie, Ethiopia,131.73333333333332
2006.0,Robert Kipkoech Cheruiyot, Kenya,127.23333333333333
2007.0,Robert Kipkoech Cheruiyot, Kenya,134.21666666666667
2008.0,Robert Kipkoech Cheruiyot, Kenya,127.75
2009.0,Deriba Merga, Ethiopia,128.7
2010.0,Robert Kiprono Cheruiyot, Kenya,125.86666666666666
2011.0,Geoffrey Mutai, Kenya,123.03333333333333
2012.0,Wesley Korir, Kenya,132.66666666666666
2013.0,Lelisa Desisa Benti, Ethiopia,130.36666666666667
2014.0,Meb Keflezighi, United States (CA),128.61666666666667
2015.0,Lelisa Desisa Benti, Ethiopia,129.28333333333333
2016.0,Lemi Berhanu Hayle, Ethiopia,132.75
2017.0,Geoffrey Kirui, Kenya,129.61666666666667
