Year,Name,Country,Time
1966.0,Bobbi Gibb, United States (MA),201.66666666666666
1967.0,Bobbi Gibb, United States (CA),207.28333333333333
1968.0,Bobbi Gibb, United States (CA),210.0
1969.0,Sara Mae Berman, United States (MA),202.76666666666668
1970.0,Sara Mae Berman, United States (MA),185.11666666666667
1971.0,Sara Mae Berman, United States (MA),188.5
1972.0,Nina Kuscsik, United States (NY),190.43333333333334
1973.0,Jacqueline Hansen, United States (CA),185.98333333333332
1974.0,Miki Gorman, United States (CA),167.18333333333334
1975.0,Liane Winter, West Germany,162.4
1976.0,Kim Merritt, United States (WI),167.16666666666666
1977.0,Miki Gorman, United States (CA),168.55
1978.0,Gayle Barron, United States (GA),164.86666666666667
1979.0,Joan Benoit, United States (ME),155.25
1980.0,Jacqueline Gareau, Canada,154.46666666666667
1981.0,Allison Roe, New Zealand,146.76666666666668
1982.0,Charlotte Teske, West Germany,149.55
1983.0,Joan Benoit, United States (ME),142.71666666666667
1984.0,Lorraine Moller, New Zealand,149.46666666666667
1985.0,Lisa Larsen Weidenbach, United States (MI),154.1
1986.0,Ingrid Kristiansen, Norway,144.91666666666666
1987.0,Rosa Mota, Portugal,145.35
1988.0,Rosa Mota, Portugal,144.5
1989.0,Ingrid Kristiansen, Norway,144.55
1990.0,Rosa Mota, Portugal,145.4
1991.0,Wanda Panfil, Poland,144.3
1992.0,Olga Markova, Russia,143.71666666666667
1993.0,Olga Markova, Russia,145.45
1994.0,Uta Pippig, Germany,141.75
1995.0,Uta Pippig, Germany,145.18333333333334
1996.0,Uta Pippig, Germany,147.2
1997.0,Fatuma Roba, Ethiopia,146.38333333333333
1998.0,Fatuma Roba, Ethiopia,143.35
1999.0,Fatuma Roba, Ethiopia,143.41666666666666
2000.0,Catherine Ndereba, Kenya,146.18333333333334
2001.0,Catherine Ndereba, Kenya,143.88333333333333
2002.0,Margaret Okayo, Kenya,140.71666666666667
2003.0,Svetlana Zakharova, Russia,145.31666666666666
2004.0,Catherine Ndereba, Kenya,144.45
2005.0,Catherine Ndereba, Kenya,145.2
2006.0,Rita Jeptoo, Kenya,143.63333333333333
2007.0,Lidiya Grigoryeva, Russia,149.3
2008.0,Dire Tune, Ethiopia,145.41666666666666
2009.0,Salina Kosgei, Kenya,152.26666666666668
2010.0,Teyba Erkesso, Ethiopia,146.18333333333334
2011.0,Caroline Kilel, Kenya,142.6
2012.0,Sharon Cherop, Kenya,151.83333333333334
2013.0,Rita Jeptoo, Kenya,146.41666666666666
2014.0,Rita Jeptoo, Kenya,138.95
2014.0,Bizunesh Deba, Ethiopia,139.98333333333332
2015.0,Caroline Rotich, Kenya,144.91666666666666
2016.0,Atsede Baysa, Ethiopia,149.31666666666666
2017.0,Edna Kiplagat, Kenya,141.86666666666667
